,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-02-15,3.840833333333264,0.0,0.0,0.0,0.0,-3.7885275800000056,0.09283333333333223
2018-02-16,3.83999999999993,0.0,0.0,0.0,0.0,-3.7214583849999974,0.15966666666666526
2018-02-17,3.857666666666597,0.0,0.0,0.0,0.0,-3.57428019166668,0.29783333333333467
2018-02-18,3.8796666666665915,0.0,0.0,0.0,8.200019708333338,-2.7176501016666714,9.724000000000002
2018-02-19,3.898833333333263,0.0,0.0,0.0,10.125781619999996,-2.437738838333332,12.005166666666678
2018-02-20,3.9364999999998753,0.0,0.0,0.0,2.589132444999999,-2.667461056666675,4.001000000000002
2018-02-21,3.9629999999999317,0.0,0.0,0.0,3.568235309999998,-2.4464829816666644,5.253666666666658
2018-02-22,4.015499999999867,0.0,0.0,0.0,3.0595442916666777,-2.352023756666673,4.864166666666654
2018-02-23,4.0466666666665745,0.0,0.0,0.0,2.9337743816666957,-2.3239215983333366,4.736499999999994
2018-02-24,3.929166666666608,0.0,0.0,0.0,2.8201612450000253,-2.47177230666667,4.477666666666663
2018-02-25,3.857999999999932,0.0,0.0,0.0,2.3507610433333332,-2.407451104999996,3.9724999999999966
2018-02-26,3.8563333333332688,0.0,0.0,0.0,3.0051996983333686,-2.3077288049999978,4.782999999999999
2018-02-27,3.894333333333265,0.0,0.0,0.0,2.7332684083333536,-2.324379001666663,4.495500000000005
2018-02-28,4.006999999999857,0.0,0.0,0.0,2.7989444750000017,-2.3189328966666745,4.608999999999978
2018-03-01,3.9789999999999064,0.0,0.0,0.0,2.629264900000001,-2.29510226500001,4.449833333333335
2018-03-02,3.9219999999999113,0.0,0.0,0.0,2.5494707400000007,-2.3761970549999942,4.260500000000002
2018-03-03,3.902499999999945,0.0,0.0,0.0,2.413900583333335,-2.4436858416666785,4.033499999999999
2018-03-04,3.9753333333332352,0.0,0.0,0.0,3.0535261299999994,-2.2775070816666636,4.916000000000005
2018-03-05,3.5123333333332725,0.0,0.0,0.0,2.5200186416666686,-2.0472322366666638,4.133166666666672
2018-03-06,3.573166666666518,0.0,0.0,0.0,2.0667657433333324,-2.179316498333335,3.532833333333338
2018-03-07,3.3648333333332245,0.0,0.0,0.0,1.9648034416666664,-2.072589574999998,3.300499999999999
2018-03-08,3.496999999999927,0.0,0.0,0.0,2.3438044583333326,-2.2283514349999978,3.696666666666665
2018-03-09,4.737333333333353,0.0,0.0,0.0,2.706678823333343,-2.9610284699999947,4.614166666666663
2018-03-10,6.039833333333318,0.0,0.0,0.0,3.3257078683333305,-3.4520931699999977,6.094833333333323
2018-03-11,5.390833333333273,0.0,0.0,0.0,1.7470708666666668,-3.1596420799999914,4.173000000000007
2018-03-12,5.686166666666637,0.0,0.0,0.0,3.7926579833333323,-3.662068335000003,6.004499999999984
2018-03-13,6.12049999999996,0.0,0.0,0.0,3.5436752266666685,-3.9880170633333316,5.920333333333328
2018-03-14,9.604000000000033,0.0,5.599166666666658,0.0,7.149215926666665,-2.871617733333336,8.501333333333326
2018-03-15,15.063333333333306,0.0,13.67883333333332,0.0,4.663661561666661,-3.2414860999999986,2.8994999999999966
2018-03-16,14.517499999999995,0.0,11.37883333333333,0.0,4.802430851666675,-4.48700738,3.4100000000000006
2018-03-17,12.072000000000063,0.0,9.128833333333336,0.0,5.860219465000009,-6.009634010000002,3.114333333333334
